,Price,Airline,flyTo,cityTo,fare_family,fare_classes,cityFrom,local_departure,local_arrival,distance,bags_price,flight_no
3940,154,['DL'],LGA,New York,,,Chicago,2019-06-19T18:40:00.000Z,2019-06-19T22:13:00.000Z,1178.35,25,2931
3941,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T09:00:00.000Z,2019-06-19T12:03:00.000Z,1178.35,22,910
3942,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T13:00:00.000Z,2019-06-19T16:05:00.000Z,1178.35,22,682
3943,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T10:00:00.000Z,2019-06-19T13:07:00.000Z,1178.35,22,1499
3944,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T07:00:00.000Z,2019-06-19T10:08:00.000Z,1178.35,22,393
3945,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T14:00:00.000Z,2019-06-19T17:09:00.000Z,1178.35,22,509
3946,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T07:30:00.000Z,2019-06-19T10:39:00.000Z,1178.35,22,427
3947,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T08:00:00.000Z,2019-06-19T11:10:00.000Z,1178.35,22,1166
3948,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T12:00:00.000Z,2019-06-19T15:11:00.000Z,1178.35,22,1741
3949,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T15:00:00.000Z,2019-06-19T18:11:00.000Z,1178.35,22,1642
3950,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T12:30:00.000Z,2019-06-19T15:42:00.000Z,1178.35,22,5364
3951,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T16:00:00.000Z,2019-06-19T19:13:00.000Z,1178.35,22,639
3952,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T17:00:00.000Z,2019-06-19T20:16:00.000Z,1178.35,22,263
3953,166,['UA'],LGA,New York,,N,Chicago,2019-06-19T11:00:00.000Z,2019-06-19T14:18:00.000Z,1178.35,22,791
3954,209,['UA'],LGA,New York,,W,Chicago,2019-06-19T21:05:00.000Z,2019-06-20T00:16:00.000Z,1178.35,22,2422
3955,209,['UA'],LGA,New York,,W,Chicago,2019-06-19T19:00:00.000Z,2019-06-19T22:11:00.000Z,1178.35,22,1823
3956,209,['UA'],LGA,New York,,W,Chicago,2019-06-19T06:00:00.000Z,2019-06-19T09:12:00.000Z,1178.35,22,2140
3957,209,['UA'],LGA,New York,,W,Chicago,2019-06-19T18:00:00.000Z,2019-06-19T21:15:00.000Z,1178.35,22,692
3958,211,['DL'],LGA,New York,,,Chicago,2019-06-19T20:40:00.000Z,2019-06-19T23:59:00.000Z,1178.35,25,2805
3959,77,['DL'],LGA,New York,,,Chicago,2019-06-20T08:40:00.000Z,2019-06-20T12:13:00.000Z,1178.35,25,315
3960,77,['DL'],LGA,New York,,,Chicago,2019-06-20T06:40:00.000Z,2019-06-20T10:15:00.000Z,1178.35,25,313
3961,92,['DL'],LGA,New York,,,Chicago,2019-06-20T07:40:00.000Z,2019-06-20T11:03:00.000Z,1178.35,25,306
3962,92,['DL'],LGA,New York,,,Chicago,2019-06-20T09:40:00.000Z,2019-06-20T13:08:00.000Z,1178.35,25,341
3963,92,['DL'],LGA,New York,,,Chicago,2019-06-20T12:40:00.000Z,2019-06-20T16:09:00.000Z,1178.35,25,326
3964,92,['DL'],LGA,New York,,,Chicago,2019-06-20T10:40:00.000Z,2019-06-20T14:10:00.000Z,1178.35,25,379
3965,92,['DL'],LGA,New York,,,Chicago,2019-06-20T13:40:00.000Z,2019-06-20T17:11:00.000Z,1178.35,25,1489
3966,92,['DL'],LGA,New York,,,Chicago,2019-06-20T11:40:00.000Z,2019-06-20T15:12:00.000Z,1178.35,25,2221
3967,107,['UA'],LGA,New York,,N,Chicago,2019-06-20T13:00:00.000Z,2019-06-20T16:05:00.000Z,1178.35,22,682
3968,107,['UA'],LGA,New York,,N,Chicago,2019-06-20T07:00:00.000Z,2019-06-20T10:08:00.000Z,1178.35,22,393
3969,107,['UA'],LGA,New York,,N,Chicago,2019-06-20T14:00:00.000Z,2019-06-20T17:09:00.000Z,1178.35,22,509
3970,107,['UA'],LGA,New York,,N,Chicago,2019-06-20T12:30:00.000Z,2019-06-20T15:42:00.000Z,1178.35,22,5364
3971,107,['UA'],LGA,New York,,N,Chicago,2019-06-20T17:00:00.000Z,2019-06-20T20:16:00.000Z,1178.35,22,263
3972,107,['UA'],LGA,New York,,N,Chicago,2019-06-20T10:00:00.000Z,2019-06-20T13:07:00.000Z,1178.35,22,1499
3973,107,['UA'],LGA,New York,,N,Chicago,2019-06-20T07:30:00.000Z,2019-06-20T10:39:00.000Z,1178.35,22,427
3974,107,['UA'],LGA,New York,,N,Chicago,2019-06-20T15:00:00.000Z,2019-06-20T18:11:00.000Z,1178.35,22,1642
3975,107,['UA'],LGA,New York,,N,Chicago,2019-06-20T12:00:00.000Z,2019-06-20T15:11:00.000Z,1178.35,22,1741
3976,107,['UA'],LGA,New York,,N,Chicago,2019-06-20T11:00:00.000Z,2019-06-20T14:18:00.000Z,1178.35,22,791
3977,122,['DL'],LGA,New York,,,Chicago,2019-06-20T20:40:00.000Z,2019-06-20T23:59:00.000Z,1178.35,25,2805
3978,122,['DL'],LGA,New York,,,Chicago,2019-06-20T14:40:00.000Z,2019-06-20T18:08:00.000Z,1178.35,25,1214
3979,164,['NK'],LGA,New York,,K,Chicago,2019-06-20T05:51:00.000Z,2019-06-20T09:01:00.000Z,1178.35,37,224
3980,164,['NK'],LGA,New York,,K,Chicago,2019-06-20T17:44:00.000Z,2019-06-20T21:00:00.000Z,1178.35,37,630
3981,169,['UA'],LGA,New York,,,Chicago,2019-06-20T09:00:00.000Z,2019-06-20T12:03:00.000Z,1178.35,22,910
3982,169,['UA'],LGA,New York,,,Chicago,2019-06-20T08:00:00.000Z,2019-06-20T11:10:00.000Z,1178.35,22,1166
3983,169,['UA'],LGA,New York,,,Chicago,2019-06-20T06:00:00.000Z,2019-06-20T09:12:00.000Z,1178.35,22,2140
3984,169,['UA'],LGA,New York,,,Chicago,2019-06-20T16:00:00.000Z,2019-06-20T19:13:00.000Z,1178.35,22,639
3985,207,['UA'],LGA,New York,,W,Chicago,2019-06-20T19:00:00.000Z,2019-06-20T22:11:00.000Z,1178.35,22,1823
3986,209,['UA'],LGA,New York,,W,Chicago,2019-06-20T21:05:00.000Z,2019-06-21T00:16:00.000Z,1178.35,22,2422
3987,245,['UA'],LGA,New York,,V,Chicago,2019-06-20T18:00:00.000Z,2019-06-20T21:15:00.000Z,1178.35,22,692
3988,245,['DL'],LGA,New York,,Q,Chicago,2019-06-20T15:40:00.000Z,2019-06-20T19:10:00.000Z,1178.35,25,2775
3989,245,['DL'],LGA,New York,,Q,Chicago,2019-06-20T19:40:00.000Z,2019-06-20T23:11:00.000Z,1178.35,25,333
3990,297,['DL'],LGA,New York,,H,Chicago,2019-06-20T16:40:00.000Z,2019-06-20T20:13:00.000Z,1178.35,25,1097
3991,91,['DL'],LGA,New York,,,Chicago,2019-06-21T10:40:00.000Z,2019-06-21T14:10:00.000Z,1178.35,25,379
3992,91,['DL'],LGA,New York,,,Chicago,2019-06-21T11:40:00.000Z,2019-06-21T15:12:00.000Z,1178.35,25,2221
3993,106,['DL'],LGA,New York,,,Chicago,2019-06-21T20:40:00.000Z,2019-06-21T23:59:00.000Z,1178.35,25,2805
3994,106,['DL'],LGA,New York,,,Chicago,2019-06-21T07:40:00.000Z,2019-06-21T11:03:00.000Z,1178.35,25,306
3995,106,['DL'],LGA,New York,,,Chicago,2019-06-21T09:40:00.000Z,2019-06-21T13:08:00.000Z,1178.35,25,341
3996,106,['DL'],LGA,New York,,,Chicago,2019-06-21T14:40:00.000Z,2019-06-21T18:08:00.000Z,1178.35,25,1214
3997,106,['DL'],LGA,New York,,,Chicago,2019-06-21T12:40:00.000Z,2019-06-21T16:09:00.000Z,1178.35,25,326
3998,106,['DL'],LGA,New York,,,Chicago,2019-06-21T19:40:00.000Z,2019-06-21T23:11:00.000Z,1178.35,25,333
3999,106,['DL'],LGA,New York,,,Chicago,2019-06-21T13:40:00.000Z,2019-06-21T17:11:00.000Z,1178.35,25,1489
4000,106,['DL'],LGA,New York,,,Chicago,2019-06-21T16:40:00.000Z,2019-06-21T20:13:00.000Z,1178.35,25,1097
4001,106,['DL'],LGA,New York,,,Chicago,2019-06-21T18:40:00.000Z,2019-06-21T22:13:00.000Z,1178.35,25,2931
4002,106,['DL'],LGA,New York,,,Chicago,2019-06-21T08:40:00.000Z,2019-06-21T12:13:00.000Z,1178.35,25,315
4003,106,['DL'],LGA,New York,,,Chicago,2019-06-21T06:40:00.000Z,2019-06-21T10:15:00.000Z,1178.35,25,313
4004,110,['UA'],LGA,New York,,,Chicago,2019-06-21T13:00:00.000Z,2019-06-21T16:05:00.000Z,1178.35,22,682
4005,110,['UA'],LGA,New York,,,Chicago,2019-06-21T07:00:00.000Z,2019-06-21T10:08:00.000Z,1178.35,22,393
4006,110,['UA'],LGA,New York,,,Chicago,2019-06-21T14:00:00.000Z,2019-06-21T17:09:00.000Z,1178.35,22,509
4007,110,['UA'],LGA,New York,,,Chicago,2019-06-21T15:00:00.000Z,2019-06-21T18:11:00.000Z,1178.35,22,1642
4008,110,['UA'],LGA,New York,,,Chicago,2019-06-21T12:00:00.000Z,2019-06-21T15:11:00.000Z,1178.35,22,1741
4009,110,['UA'],LGA,New York,,,Chicago,2019-06-21T16:00:00.000Z,2019-06-21T19:13:00.000Z,1178.35,22,639
4010,110,['UA'],LGA,New York,,,Chicago,2019-06-21T17:00:00.000Z,2019-06-21T20:16:00.000Z,1178.35,22,263
4011,110,['UA'],LGA,New York,,,Chicago,2019-06-21T11:00:00.000Z,2019-06-21T14:18:00.000Z,1178.35,22,791
4012,154,['DL'],LGA,New York,,,Chicago,2019-06-21T17:40:00.000Z,2019-06-21T21:09:00.000Z,1178.35,25,1409
4013,154,['DL'],LGA,New York,,,Chicago,2019-06-21T15:40:00.000Z,2019-06-21T19:10:00.000Z,1178.35,25,2775
4014,166,['UA'],LGA,New York,,N,Chicago,2019-06-21T09:00:00.000Z,2019-06-21T12:03:00.000Z,1178.35,22,910
4015,166,['UA'],LGA,New York,,N,Chicago,2019-06-21T10:00:00.000Z,2019-06-21T13:07:00.000Z,1178.35,22,1499
4016,166,['UA'],LGA,New York,,N,Chicago,2019-06-21T07:30:00.000Z,2019-06-21T10:39:00.000Z,1178.35,22,427
4017,166,['UA'],LGA,New York,,N,Chicago,2019-06-21T19:00:00.000Z,2019-06-21T22:11:00.000Z,1178.35,22,1823
4018,166,['UA'],LGA,New York,,N,Chicago,2019-06-21T21:05:00.000Z,2019-06-22T00:16:00.000Z,1178.35,22,2422
4019,169,['UA'],LGA,New York,,,Chicago,2019-06-21T08:00:00.000Z,2019-06-21T11:10:00.000Z,1178.35,22,1166
4020,169,['UA'],LGA,New York,,,Chicago,2019-06-21T06:00:00.000Z,2019-06-21T09:12:00.000Z,1178.35,22,2140
4021,169,['UA'],LGA,New York,,,Chicago,2019-06-21T12:30:00.000Z,2019-06-21T15:42:00.000Z,1178.35,22,5364
4022,212,['UA'],LGA,New York,,,Chicago,2019-06-21T18:00:00.000Z,2019-06-21T21:15:00.000Z,1178.35,22,692
4023,213,['NK'],LGA,New York,,H,Chicago,2019-06-21T05:51:00.000Z,2019-06-21T09:01:00.000Z,1178.35,37,224
4024,213,['NK'],LGA,New York,,H,Chicago,2019-06-21T17:44:00.000Z,2019-06-21T21:00:00.000Z,1178.35,37,630
4025,107,['UA'],LGA,New York,,N,Chicago,2019-06-22T14:00:00.000Z,2019-06-22T17:09:00.000Z,1178.35,22,509
4026,107,['DL'],LGA,New York,,,Chicago,2019-06-22T10:40:00.000Z,2019-06-22T14:10:00.000Z,1178.35,25,379
4027,107,['DL'],LGA,New York,,,Chicago,2019-06-22T08:40:00.000Z,2019-06-22T12:13:00.000Z,1178.35,25,315
4028,107,['UA'],LGA,New York,,N,Chicago,2019-06-22T07:00:00.000Z,2019-06-22T10:08:00.000Z,1178.35,22,393
4029,155,['DL'],LGA,New York,,,Chicago,2019-06-22T12:40:00.000Z,2019-06-22T16:09:00.000Z,1178.35,25,326
4030,166,['UA'],LGA,New York,,N,Chicago,2019-06-22T09:00:00.000Z,2019-06-22T12:03:00.000Z,1178.35,22,910
