,Price,Airline,flyTo,cityTo,fare_family,fare_classes,cityFrom,local_departure,local_arrival,distance,bags_price,flight_no
4906,166,['UA'],LGA,New York,,N,Chicago,2019-07-22T17:00:00.000Z,2019-07-22T20:16:00.000Z,1178.35,22,263
4907,166,['UA'],LGA,New York,,N,Chicago,2019-07-22T11:00:00.000Z,2019-07-22T14:18:00.000Z,1178.35,22,791
4908,209,['UA'],LGA,New York,,W,Chicago,2019-07-22T07:00:00.000Z,2019-07-22T10:08:00.000Z,1178.35,22,393
4909,209,['UA'],LGA,New York,,W,Chicago,2019-07-22T07:30:00.000Z,2019-07-22T10:39:00.000Z,1178.35,22,427
4910,209,['UA'],LGA,New York,,W,Chicago,2019-07-22T08:00:00.000Z,2019-07-22T11:10:00.000Z,1178.35,22,1166
4911,209,['UA'],LGA,New York,,W,Chicago,2019-07-22T19:00:00.000Z,2019-07-22T22:11:00.000Z,1178.35,22,1823
4912,209,['UA'],LGA,New York,,W,Chicago,2019-07-22T18:00:00.000Z,2019-07-22T21:15:00.000Z,1178.35,22,692
4913,290,['UA'],LGA,New York,,,Chicago,2019-07-22T06:00:00.000Z,2019-07-22T09:12:00.000Z,1178.35,22,2140
4914,67,['UA'],LGA,New York,,N,Chicago,2019-07-23T13:00:00.000Z,2019-07-23T16:05:00.000Z,1178.35,22,682
4915,67,['UA'],LGA,New York,,N,Chicago,2019-07-23T15:00:00.000Z,2019-07-23T18:11:00.000Z,1178.35,22,1642
